Name of Satellite  Alternate Names,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Angle,Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,new_purpose,new_country,new_year,new_month,new_day,avgDis,new_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKSat-1 (T??pac Katari Satellite 1),Bolivia,Bolivia,Bolivia Aerospace Bureau,Government,Communications,NAN,GEO,NAN,-87.24,35773,35799,0.96,0,0.27,1436.07,5000,NAN,NAN,12/20/13,NAN,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2013-075A,39481,Government,Others,2013,12,20,35786,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmen Alem 52E/MonacoSAT,NR,Turkmenistan/Monaco,Turkmenistan Ministry of Communications/SSI-Monaco,Government/Commercial,Communications,NAN,GEO,NAN,52,35655,35784,0.5,0,0,1432.69,4700,1850,NAN,4/27/15,15,Thales Alenia Space,France/Italy,Cape Canaveral,Falcon 9,2015-023A,40617,Multi-purpose,Others,2015,4,27,35719.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turksat 3A,Turkey,Turkey,Turksat,Commercial,Communications,NAN,GEO,NAN,42.04,35778,35793,1.41,0,0.01,1436.06,3100,1272,8100,6/12/08,NAN,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2008-030B,33056,Commercial,Others,2008,6,12,35785.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turksat 4A,Turkey,Turkey,Turksat,Commercial,Communications,NAN,GEO,NAN,50,35776,35797,-2.72,0,0.01,1436.08,4869,NAN,NAN,2/14/14,15,Mitsubishi Electric ,Japan,Baikonur Cosmodrome,Proton,2014-007A,39522,Commercial,Others,2014,2,14,35786.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turksat 4B,NR,Turkey,Turksat,Commercial,Communications,Optical Imaging,GEO,NAN,50,35787,35805,-0.26,0,0.03,1436.57,5000,NAN,NAN,10/16/15,15,Mitsubishi Electric ,Japan,Baikonur Cosmodrome,Proton,2015-060A,40984,Commercial,Others,2015,10,16,35796,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UFO-10 (USA 146  UHF F/O F10) ""UHF Follow-On""",USA,USA,US Navy,Military,Communications,NAN,GEO,NAN,72.67,35738,35834,2.29,0,1.97,1436.1,3200,1540,3 800 (EOL),11/24/99,4,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1999-063A,25967,Military,USA,1999,11,24,35786,1990 - 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UFO-11  (USA 174) ""UHF Follow-On""",USA,USA,US Navy,Military,Communications,Optical Imaging,GEO,NAN,71.44,35786,35787,2.38,0,2.16,1436.1,3200,1545,2 800 (EOL),12/18/03,4,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 3,2003-057A,28117,Military,USA,2003,12,18,35786.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UFO-2 (USA 95) ""UHF Follow-On""",USA,USA,US Navy,Military,Communications,NAN,GEO,NAN,28.79,35766,35807,0.41,0,8.27,1436.12,3200,1545,2 800 (EOL),9/3/93,NAN,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1993-056A,22787,Military,USA,1993,9,3,35786.5,1990 - 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UFO-4 (USA 108  UFO F4 EHF) ""UHF Follow-On""",USA,USA,US Navy,Military,Communications,NAN,GEO,NAN,-177.12,35763,35775,-0.97,0,3.34,1435.22,3200,1545,2 800 (EOL),1/29/95,4,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1995-003A,23467,Military,USA,1995,1,29,35769,1990 - 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UFO-8 (USA 138  UHF F/O F8) ""UHF Follow-On""",USA,USA,US Navy,Military,Communications,NAN,GEO,NAN,172.28,35772,35794,1.58,0,5.24,1435.94,3206,1545,3 800 (EOL),3/16/98,4,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1998-016A,25258,Military,USA,1998,3,16,35783,1990 - 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ViaSat-1,USA,USA,ViaSat  Inc.,Commercial,Communications,NAN,GEO,NAN,-115,35775,35796,1.33,0,0.04,1436.09,6740,NAN,NAN,10/19/11,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2011-059A,37843,Commercial,USA,2011,10,19,35785.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ViaSat-2,United Kingdom,USA,ViaSat  Inc.,Commercial,Communications,NAN,GEO,NAN,-69.9,35785,35787,0.18,0,0,1436.1,6418,NAN,NAN,6/1/17,14,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2017-029A,42740,Commercial,USA,2017,6,1,35786,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinasat 1,NR,Vietnam,Vietnamese Posts and Telecommunications Group (VNPT),Government,Communications,NAN,GEO,NAN,131.97,35782,35791,2.92,0,0.02,1436.1,2600,NAN,NAN,4/18/08,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2008-018A,32767,Government,Others,2008,4,18,35786.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinasat 2,NR,Vietnam,Vietnamese Posts and Telecommunications Group (VNPT),Government,Communications,NAN,GEO,NAN,131.8,35742,35776,-0.09,0,0.08,1434.69,2970,NAN,NAN,5/15/12,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2012-023B,38332,Government,Others,2012,5,15,35759,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wideband Global Satcom 1 (WGS-1  USA 195),USA,USA,Military Satellite Communications - US Air Force,Military,Communications,NAN,GEO,NAN,179.88,35783,35790,-1.51,0,0,1436.1,5900,3450,13000,10/11/07,14,Boeing Integrated Defense Systems,USA,Cape Canaveral,Atlas 5,2007-046A,32258,Military,USA,2007,10,11,35786.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wideband Global Satcom 10 (WGS-10  USA 291),USA,USA,Military Satellite Communications - US Air Force,Military,Communications,NAN,GEO,NAN,-52,35765,35795,0.3,0,0,1436.1,5990,3450,13000,3/16/19,14,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2019-014A,44071,Military,USA,2019,3,16,35780,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wideband Global Satcom 2 (WGS-2  USA 204),USA,USA,Military Satellite Communications - US Air Force,Military,Communications,NAN,GEO,NAN,60.18,35786,35787,2.41,0,0.03,1436.12,5987,3450,13000,4/4/09,14,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2009-017A,34713,Military,USA,2009,4,4,35786.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wideband Global Satcom 3 (WGS-3  USA 211),USA,USA,Military Satellite Communications - US Air Force,Military,Communications,Optical Imaging,GEO,NAN,-12,35785,35786,2.45,0,0,1436.1,5990,3450,13000,12/6/09,14,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2009-068A,36108,Military,USA,2009,12,6,35785.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wideband Global Satcom 4 (WGS-4  USA 233),USA,USA,Military Satellite Communications - US Air Force,Military,Communications,Optical Imaging,GEO,NAN,-124.5,35785,35786,0.73,0,0.01,1436.1,5990,3450,13000,1/20/12,14,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2012-003A,38070,Military,USA,2012,1,20,35785.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wideband Global Satcom 5 (WGS-5  USA 243),USA,USA,Military Satellite Communications - US Air Force,Military,Communications,Optical Imaging,GEO,NAN,-52.5,35739,35784,1.63,0,0,1436.1,5990,3450,13000,5/25/13,14,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2013-024A,39168,Military,USA,2013,5,25,35761.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wideband Global Satcom 6 (WGS-6  USA 244),USA,USA,Military Satellite Communications - US Air Force,Military,Communications,Optical Imaging,GEO,NAN,-135.22,35772,35801,0.6,0,0,1436.1,5990,3450,13000,8/8/13,14,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2013-041A,39222,Military,USA,2013,8,8,35786.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wideband Global Satcom 7 (WGS-7  USA 263),USA,USA,Military Satellite Communications - US Air Force,Military,Communications,Optical Imaging/Infrared Imaging,GEO,NAN,174.96,35772,35801,2.45,0,0,1436.1,5990,3450,13000,7/24/15,14,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2015-036A,40746,Military,USA,2015,7,24,35786.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wideband Global Satcom 8 (WGS-8  USA 272),USA,USA,Military Satellite Communications - US Air Force,Military,Communications,NAN,GEO,NAN,-150,35770,35770,-0.18,0,0,1436.1,5990,3450,13000,12/7/16,14,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2016-075A,41879,Military,USA,2016,12,7,35770,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wideband Global Satcom 9 (WGS-9  USA 275),USA,USA,Military Satellite Communications - US Air Force,Military,Communications,NAN,GEO,NAN,149.81,35772,35801,-0.05,0,0,1436.1,5990,3450,13000,3/17/17,14,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2017-016A,42075,Military,USA,2017,3,17,35786.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WildBlue 1,USA,USA,WildBlue Communications,Commercial,Communications,NAN,GEO,NAN,-111.09,35776,35796,1.27,0,0.01,1436.1,4735,1995,10000,12/8/06,12,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,2006-054A,29643,Commercial,USA,2006,12,8,35786,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XM Radio 3 (Rhythm),USA,USA,XM Satellite Radio USA,Commercial,Communications,NAN,GEO,NAN,-85.04,35782,35790,-3,0,0.01,1436.1,4703,NAN,18000,3/1/05,15,Boeing Satellite Systems,USA,Sea Launch Odyssey,Zenit 3SL,2005-008A,28626,Commercial,USA,2005,3,1,35786,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XM Radio 4 (Blues),USA,USA,XM Satellite Radio USA,Commercial,Communications,NAN,GEO,NAN,-114.96,35784,35787,1.69,0,0.01,1436.09,5193,NAN,18000,10/30/06,15,Boeing Satellite Systems,USA,Sea Launch Odyssey,Zenit 3SL,2006-049A,29520,Commercial,USA,2006,10,30,35785.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XTAR-EUR,USA,Spain,Ministry of Defense/XTAR,Military/Government,Communications,NAN,GEO,NAN,29.03,35778,35792,2.5,0,0.1,1436.06,3631,1412,NAN,2/12/05,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2005-005A,28542,Multi-purpose,Others,2005,2,12,35785,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yahsat-1A (Y1A),United Arab Emirates,United Arab Emirates,Al Yah Satellite Communications Co. (YAHSAT),Military/Commercial,Communications,NAN,GEO,NAN,52.5,35743,35823,1.66,0,0.04,1435.92,5953,NAN,NAN,4/22/11,15,Astrium/Thales Alenia Space,France,Guiana Space Center,Ariane 5,2011-016B,37393,Multi-purpose,Others,2011,4,22,35783,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yahsat-1B (Y1B),United Arab Emirates,United Arab Emirates,Al Yah Satellite Communications Co. (YAHSAT),Military/Commercial,Communications,NAN,GEO,NAN,47.6,35780,35791,-1.91,0,0,1436.07,6000,NAN,NAN,4/23/12,NAN,Astrium/Thales Alenia Space,France,Baikonur Cosmodrome,Proton M,2012-016A,38245,Multi-purpose,Others,2012,4,23,35785.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamal-202,Russia,Russia,Gazprom Space Systems,Commercial,Communications,NAN,GEO,NAN,49.03,35774,35796,0.17,0,0.04,1436.06,1320,NAN,2000,11/24/03,12,Rocket-Space Corporation Energia/Alcatel,Russia,Baikonur Cosmodrome,Proton K,2003-053A,28089,Commercial,Russia,2003,11,24,35785,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamal-300K,Russia,Russia,Gazprom Space Systems,Commercial,Communications,NAN,GEO,NAN,90,35694,35866,-2.34,0,0.14,1435.76,1640,NAN,NAN,11/2/12,NAN,OAO Resetneva,Russia,Baikonur Cosmodrome,Proton M,2012-061B,38978,Commercial,Russia,2012,11,2,35780,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamal-401,Russia,Russia,Gazprom Space Systems,Commercial,Communications,NAN,GEO,NAN,90,35761,35822,2.07,0,0.03,1436.33,2976,NAN,NAN,12/15/14,15,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2014-082A,40345,Commercial,Russia,2014,12,15,35791.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamal-402,Russia,Russia,Gazprom Space Systems,Commercial,Communications,Electronic Intelligence,GEO,NAN,55,35784,35789,-2.1,0,0.06,1436.11,4463,NAN,NAN,12/8/12,11,Thales,France,Baikonur Cosmodrome,Proton M,2012-070A,39022,Commercial,Russia,2012,12,8,35786.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamal-601,Russia,Russia,Gazprom Space Systems,Commercial,Communications,Electronic Intelligence,GEO,NAN,49,35778,35793,-1.32,0,0.03,1436.06,5400,NAN,NAN,5/30/19,15,Thales Alenia Space,France,Baikonur Cosmodrome,Proton,2019-031A,44307,Commercial,Russia,2019,5,30,35785.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhongxing 10 (XZ-10  Chinasat 10),China,China,China Satellite Communication Corp. (China Satcom),Government,Communications,NAN,GEO,NAN,110.5,35775,35797,-0.01,0,0.17,1436.05,5000,NAN,NAN,6/20/11,15,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2011-026A,37677,Government,China,2011,6,20,35786,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhongxing 11 (ChinaSat 11),China,China,China Satellite Communication Corp. (China Satcom),Commercial,Communications,NAN,GEO,NAN,98,35781,35793,-0.63,0,0.02,1436.14,5100,NAN,NAN,5/1/13,15,China Aerospace Science and Technology Corp. (CASC),China,Xichang Satellite Launch Center,Long March 3B,2013-020A,39157,Commercial,China,2013,5,1,35787,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhongxing 12 (Chinasat 12  SupremeSat-1  Apstar 7B  ZX-12),China/Sri Lanka,China,China Satellite Communication Corp. (China Satcom),Government,Communications,NAN,GEO,NAN,87.5,35759,35807,-3.03,0,0.04,1435.92,5500,NAN,NAN,11/27/12,NAN,Thales Alenia Space,France,Xichang Satellite Launch Center,Long March 3B,2012-067A,39017,Government,China,2012,11,27,35783,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhongxing 1A (Chinasat 1A  Fenghuo 2),China,China,People's Liberation Army (C41),Military,Communications,NAN,GEO,NAN,129.84,35778,35796,-2.88,0,0.3,1436.13,5200,NAN,NAN,9/18/11,NAN,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2011-047A,37804,Military,China,2011,9,18,35787,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhongxing 1C (ChinaSat 1C),China,China,China Satellite Communication Corp. (China Satcom),Commercial,Communications,NAN,GEO,NAN,81,35778,35796,1.48,0,0.01,1436.12,5200,NAN,8000,12/9/15,15,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2015-073A,41103,Commercial,China,2015,12,9,35787,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhongxing 20A,China,China,People's Liberation Army (C41),Military,Communications,Hyperspectral Imaging,GEO,NAN,130,35773,35799,1.98,0,0.55,1436.05,2300,NAN,NAN,11/24/10,NAN,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2010-064A,37234,Military,China,2010,11,24,35786,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhongxing 2A (Chinasat 2A),China,China,People's Liberation Army (C41),Military/Government,Communications,Hyperspectral Imaging,GEO,NAN,98,35781,35792,-1.91,0,0.19,1436.09,5200,NAN,NAN,5/26/12,NAN,China Great Wall Industry Corporation (CGWIC),China,Xichang Satellite Launch Center,Long March 3B,2012-028A,38352,Multi-purpose,China,2012,5,26,35786.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhongxing 2C (ChinaSat 2C),China,China,China Satellite Communication Corp. (China Satcom),Government/Commercial,Communications,Hyperspectral Imaging,GEO,NAN,103.43,35787,35801,-1.91,0,0.5,1436.1,5200,NAN,NAN,11/3/15,15,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2015-063A,41021,Multi-purpose,China,2015,11,3,35794,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhongxing 2D (Chinasat 2D),NR (11/19),China,China ,Government/Commercial,Communications,Hyperspectral Imaging,GEO,NAN,130,35781,35793,0.66,0,0.02,1436.12,5200,NAN,NAN,1/10/19,NAN,China Aerospace Science and Technology Corp. (CASC),China,Xichang Satellite Launch Center,Long March 3B,2019-001A,43920,Multi-purpose,China,2019,1,10,35787,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhongxing 6B (ChinaSat 6B),China,China,China Satellite Communication Corp. (China Satcom),Government/Commercial,Communications,Hyperspectral Imaging,GEO,NAN,115.58,35777,35797,-2.67,0,0.05,1436.1,4600,NAN,9500,7/6/07,15,Thales Alenia Space,France/Italy,Xichang Satellite Launch Center,Long March 3B,2007-031A,31800,Multi-purpose,China,2007,7,6,35787,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhongxing 6C (ChinaSat 6C),NR (11/19),China,China Satellite Communication Corp. (China Satcom),Government/Commercial,Communications,Hyperspectral Imaging,GEO,NAN,130,35777,35792,-0.15,0,0.06,1436.1,4600,NAN,NAN,3/11/19,15,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2019-012A,44067,Multi-purpose,China,2019,3,11,35784.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhongxing 9 (Chinasat 9  Chinastar 9),China,China,China Satellite Communication Corp. (China Satcom),Government,Communications,Hyperspectral Imaging,GEO,NAN,92.22,35759,35812,2.68,0,0.03,1436.1,NAN,NAN,NAN,6/9/08,NAN,Thales Alenia Space,France,Xichang Satellite Launch Center,Long March 3B,2008-028A,33051,Government,China,2008,6,9,35785.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhongxing 9A (ChinaSat 9A),China,China,China Satellite Communication Corp. (China Satcom),Government/Commercial,Communications,Hyperspectral Imaging,GEO,NAN,101.4,35773,35800,-0.86,0,0,1436.1,5000,NAN,NAN,6/18/17,15,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2017-035A,42763,Multi-purpose,China,2017,6,18,35786.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1HOPSAT-TD (1st-generation High Optical Performance Satellite),NR (3/20),USA,Hera Systems,Commercial,Earth Observation,Technology Development,LEO,Non-Polar Inclined,0,566,576,-1.41,0,36.9,96.08,22,NAN,NAN,12/11/19,0.5,Hera Systems,USA,Satish Dhawan Space Centre,PSLV,2019-089H,44589,Commercial,USA,2019,12,11,571,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3Cat-1,NR,Spain,Universitat Polit??cnica de Catalunya,Civil,Technology Development,NAN,LEO,NAN,0,476,500,-1.25,0,97.4,95,4,NAN,NAN,11/29/18,NAN,Universitat Polit??cnica de Catalunya,Spain,Satish Dhawan Space Centre,PSLV,2018-096K,43728,Civil,Others,2018,11,29,488,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aalto-1,Finland,Finland,University of Aalto,Civil,Technology Development,NAN,LEO,NAN,0,497,517,-2.9,0,97.45,94.7,5,NAN,4.5,6/23/17,2,University of Aalto,Finland,Satish Dhawan Space Centre,PSLV,2017-036L,42775,Civil,Others,2017,6,23,507,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAUSat-4,Denmark,Denmark,University of Aalborg,Civil,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,442,687,1.95,0.02,98.2,95.9,1,NAN,NAN,4/25/16,NAN,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a,2016-025E,41460,Civil,Others,2016,4,25,564.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeneas,USA,USA,Department of Homeland Security,Government,Technology Development,NAN,LEO,Equatorial,0,480,790,0.13,0.02,0.02,97.4,3,NAN,NAN,9/13/12,NAN,University of Southern California,USA,Vandenberg AFB,Atlas 5,2012-048C,38760,Government,USA,2012,9,13,635,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeolus,ESA,ESA,European Space Agency (ESA),Government,Earth Observation,Earth Science,LEO,NAN,0,314,317,0.09,0,96.7,92.4,1367,NAN,NAN,8/22/18,3,Airbus Defense and Space,France/UK/Germany/Spain,Guiana Space Center,Vega,2018-066A,43600,Government,Others,2018,8,22,315.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 10A (Jimsat),USA,USA,Aerospace Corporation,Commercial,Technology Development,NAN,LEO,Non-Polar Inclined,0,469,481,-1.12,0,51.6,94.15,2,NAN,NAN,8/9/19,NAN,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-022D,44485,Commercial,USA,2019,8,9,475,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 10B (Dougsat),USA,USA,Aerospace Corporation,Commercial,Technology Development,NAN,LEO,Non-Polar Inclined,0,471,483,-1.45,0,51.6,94.15,2,NAN,NAN,8/9/19,NAN,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-022C,44484,Commercial,USA,2019,8,9,477,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 11A (TOMSat Eagle Scout),NR,USA,Aerospace Corporation,Commercial,Technology Development,NAN,LEO,Polar,0,495,511,-2.45,0,85.03,94.6,4,NAN,NAN,12/17/18,NAN,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron,2018-104N,43861,Commercial,USA,2018,12,17,503,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 11B (TOMSat R3),NR,USA,Aerospace Corporation,Commercial,Technology Development,NAN,LEO,Polar,0,492,511,1.71,0,85.3,94.6,4,NAN,NAN,12/17/18,NAN,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron,2018-104A,43849,Commercial,USA,2018,12,17,501.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 12A,NR,USA,Aerospace Corporation,Commercial,Technology Development,NAN,LEO,Non-Polar Inclined,0,481,487,1.43,0,51.6,94.2,4,NAN,NAN,7/16/18,NAN,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2018-046C,43556,Commercial,USA,2018,7,16,484,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 12B,NR,USA,Aerospace Corporation,Commercial,Technology Development,NAN,LEO,Non-Polar Inclined,0,481,487,-3.12,0,51.6,94.2,4,NAN,NAN,7/16/18,NAN,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2018-046D,43557,Commercial,USA,2018,7,16,484,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 14A,NR (3/20),USA,Aerospace Corporation,Military,Technology Development,NAN,LEO,Non-Polar Inclined,0,459,474,-2.79,0,51.6,93.9,NAN,NAN,NAN,1/31/20,NAN,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-071D,45114,Military,USA,2020,1,31,466.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 14B,NR (3/20),USA,Aerospace Corporation,Military,Technology Development,NAN,LEO,Non-Polar Inclined,0,459,474,-2.59,0,51.6,93.9,NAN,NAN,NAN,1/31/20,NAN,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-071F,45116,Military,USA,2020,1,31,466.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 15A,NR (3/20),USA,Aerospace Corporation,Military,Technology Development,NAN,LEO,Non-Polar Inclined,0,458,474,1.56,0,51.6,93.9,NAN,NAN,NAN,1/31/20,NAN,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-071G,45117,Military,USA,2020,1,31,466,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 5C,NR,USA,Aerospace Corporation,Commercial,Technology Development,NAN,LEO,Non-Polar Inclined,0,500,802,-0.49,0.02,64.78,97.74,2,NAN,NAN,10/8/15,NAN,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058B,40965,Commercial,USA,2015,10,8,651,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 6A,NR,USA,Aerospace Corporation,Commercial,Technology Development,NAN,LEO,Sun-Synchronous,0,614,700,2.46,0.01,97.98,97.88,5,NAN,NAN,6/19/14,3,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AM,40045,Commercial,USA,2014,6,19,657,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 6B,NR,USA,Aerospace Corporation,Commercial,Technology Development,NAN,LEO,Sun-Synchronous,0,614,700,-0.38,0.01,97.98,97.88,5,NAN,NAN,6/19/14,3,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AN,40046,Commercial,USA,2014,6,19,657,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 7A,NR,USA,Aerospace Corporation,Commercial,Technology Development,NAN,LEO,Non-Polar Inclined,0,500,802,-0.25,0.02,64.6,97.4,2,NAN,NAN,10/8/15,NAN,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058C,40966,Commercial,USA,2015,10,8,651,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 8A,NR,USA,Aerospace Corporation,Commercial,Technology Development,NAN,LEO,Non-Polar Inclined,0,356,700,-0.87,0.02,55,95.19,5,NAN,NAN,5/20/15,NAN,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025J,40659,Commercial,USA,2015,5,20,528,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
