Name of Satellite  Alternate Names,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Angle,Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,new_purpose,new_country,new_year,new_month,new_day,avgDis,new_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geotail (Geomagnetic Tail Laboratory),Japan,Multinational,Institute of Space and Astronautical Science (ISAS)/NASA/ESA,Government,Space Science,NAN,Elliptical,Deep Highly Eccentric,0,49551,191451,-2.54,0.56,9.39,2474.83,980,NAN,273,7/24/92,NAN,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Delta 2,1992-044A,22049,Government,Multinational,1992,7,24,120501,1990 - 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hisaki (Sprint A  Spectroscopic Planet Observatory for Recognition of Interaction of Atmosphere),Japan,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Space Science,NAN,Elliptical,NAN,0,952,1155,0.13,0.01,31,106.27,348,NAN,900,9/14/13,1,NEC Corporation,Japan,Uchinoura Space Center,Epsilon,2013-049A,39253,Government,Others,2013,9,14,1053.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improved Trumpet 4 (NROL-22  National Reconnaissance Office Launch-22  SBIRS HEO-1  Twins 1  USA 184),USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,Elliptical,Molniya,0,1111,37564,0.53,0.71,63,684,4000,NAN,NAN,6/28/06,NAN,National Reconnaissance Laboratory,USA,Vandenberg AFB,Delta 4,2006-027A,29249,Military,USA,2006,6,28,19337.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improved Trumpet 5 (NROL-28  National Reconnaissance Office Launch-28  SBIRS HEO-2  Twins 2  USA 200),USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,Elliptical,Molniya,0,1112,37580,0.45,0.71,63.56,684,4200,NAN,NAN,3/13/08,NAN,National Reconnaissance Laboratory,USA,Vandenberg AFB,Atlas 5,2008-010A,32706,Military,USA,2008,3,13,19346,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improved Trumpet 6 (NROL-35  National Reconnaissance Office Launch-35  SBIRS HEO-3  USA 259),USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,Elliptical,Molniya,0,2103,37746,0,0.68,62.85,707.55,4200,NAN,NAN,12/13/14,NAN,National Reconnaissance Laboratory,USA,Vandenberg AFB,Atlas 5,2014-081A,40344,Military,USA,2014,12,13,19924.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improved Trumpet 7 (NROL-42  National Reconnaissance Office Launch-42  SBIRS HEO-4  USA 278),USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,Elliptical,Molniya,0,1738,38111,-0.25,0.69,63.8,707.7,8000,NAN,NAN,9/24/17,NAN,National Reconnaissance Laboratory,USA,Vandenberg AFB,Atlas 5,2017-056A,42941,Military,USA,2017,9,24,19924.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Integral (INTErnational Gamma-Ray Astrophysics Laboratory),ESA,ESA/USA/Russia,European Space Operations Centre (ESOC)/NASA/Russia,Government,Space Science,NAN,Elliptical,Deep Highly Eccentric,0,6292,156833,-0.33,0.86,53.95,4032.86,4000,3414,2000,10/17/02,2,Alenia Aerospazio (and 28 subcontractors),Italy/International,Baikonur Cosmodrome,Proton,2002-048A,27540,Government,Others,2002,10,17,81562.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interstellar Boundary EXplorer (IBEX),USA,USA,National Aeronautics and Space Administration (NASA)/Goddard Space Flight Center,Government,Space Science,NAN,Elliptical,Deep Highly Eccentric,0,62200,268679,-2.55,0.6,15.2,11520,462,NAN,NAN,10/19/08,NAN,Orbital Sciences Corp.,USA,Kwajalein Island,Pegasus XL,2008-051A,33401,Government,USA,2008,10,19,165439.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO CP9 (Launch Environment Observer),NR (11/19),USA,California Polytechnic State University,Civil,Technology Development,NAN,Elliptical,NAN,0,301,846,0.04,0.04,28.5,96.1,6,NAN,NAN,6/25/19,NAN,California Polytechnic State University,USA,Cape Canaveral,Falcon Heavy,2019-036X,44360,Civil,USA,2019,6,25,573.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meridian-3,Russia,Russia,Military Space Forces (VKS),Military,Communications,NAN,Elliptical,Molniya,0,2253,38105,-1.31,0.68,62.85,645.98,2500,NAN,NAN,11/2/10,NAN,PO Polyot,Russia,Plesetsk Cosmodrome,Soyuz 2.1a,2010-058A,37212,Military,Russia,2010,11,2,20179,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
